ALDEx2 Differential Abundance of Dams Wk2-Wk4 AMP vs Mock											
taxa n=19	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.mom.Amp	rab.win.mom.Mock	diff.btw	diff.win	effect	overlap
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	0.07036816	0.13995225	0.01497416	0.03183289	9.74730089	10.8057368	9.25702184	-1.8928876	3.4623563	-0.4643986	0.25845622
											
ALDEx2 Differential Abundance of Dams E19-Wk1 AMP vs Mock											
taxa n=6	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.mom.Amp	rab.win.mom.Mock	diff.btw	diff.win	effect	overlap
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.00024982	0.01782644	0.00014717	0.01157571	10.6678953	2.88170768	12.6413772	9.72066298	4.51037465	1.649446	0.0681821
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0008283	0.02546196	0.00088042	0.02229827	3.31956361	6.61764723	2.00303819	-5.9364729	4.71959929	-1.1474659	0.09929097
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.00070738	0.02383075	0.00049581	0.01479488	2.79693646	5.02482702	1.46038229	-5.9616085	5.25733709	-1.1151344	0.08794348
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	0.00137845	0.03220525	0.00097451	0.02219569	3.97161511	9.71158435	3.27338732	-7.3682527	5.39548027	-1.1134622	0.09943201
k__Bacteria;p__Proteobacteria;__;__	0.00311254	0.05086483	0.00208245	0.04268404	8.03731027	2.42168572	9.42943376	6.90534082	5.99127479	1.03269504	0.1347519
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	0.00654695	0.07332092	0.00144644	0.03813115	7.69368818	4.19311635	8.72308068	4.49020566	4.76769681	0.85941763	0.1234044
											
ALDEx2 Differential Abundance of Dams E19-Wk1 AMOX/CLAV vs Mock											
taxa n=4	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.mom.Augmentin	rab.win.mom.Mock	diff.btw	diff.win	effect	overlap
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.00010418	0.00501303	0.00011904	0.00737343	8.63521652	2.13106145	12.0569566	9.11734576	5.40510897	1.45947227	0.09375017
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.00019742	0.00729702	0.0004998	0.01833864	2.82765052	8.0365041	1.4780884	-6.2615567	5.10864405	-1.2172557	0.1054689
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.00099575	0.01376369	0.00088525	0.02250065	10.529197	9.39570579	11.8931046	2.42879607	2.35784657	0.99786266	0.13524068
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00107607	0.01432226	0.00111999	0.02523503	4.5660142	-0.7768744	6.24160497	6.16479218	5.44120973	0.97570181	0.15994807
